"OBÈINE","SKD DEJAVNOST","2021 (zaèasni podatki)"
"Jesenice","M Strokovne, znanstvene in tehniène dejavnosti",230950
"Jesenice","N Druge raznovrstne poslovne dejavnosti",119107
"Jesenice","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",927653
"Jesenice","P Izobraževanje",851998
"Jesenice","Q Zdravstvo in socialno varstvo",3412493
"Jesenice","R Kulturne, razvedrilne in rekreacijske dejavnosti",1300215
"Jesenice","S Druge dejavnosti",259256
"Jesenice","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Jesenice","U Dejavnost eksteritorialnih organizacij in teles",0
"Jesenice","X Neznano",408106
"Jezersko","SKD Dejavnost - SKUPAJ",743156
"Jezersko","A Kmetijstvo in lov, gozdarstvo, ribištvo",5019
"Jezersko","B Rudarstvo",0
"Jezersko","C Predelovalne dejavnosti",4942
"Jezersko","D Oskrba z elektrièno energijo, plinom in paro",2628
"Jezersko","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",22037
"Jezersko","F Gradbeništvo",8249
"Jezersko","G Trgovina, vzdrževanje in popravila motornih vozil",18241
"Jezersko","H Promet in skladišèenje",0
"Jezersko","I Gostinstvo",304081
"Jezersko","J Informacijske in komunikacijske dejavnosti",140104
"Jezersko","K Finanène in zavarovalniške dejavnosti",0
"Jezersko","L Poslovanje z nepremièninami",0
"Jezersko","M Strokovne, znanstvene in tehniène dejavnosti",342
"Jezersko","N Druge raznovrstne poslovne dejavnosti",119503
"Jezersko","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",34430
"Jezersko","P Izobraževanje",27244
"Jezersko","Q Zdravstvo in socialno varstvo",5457
"Jezersko","R Kulturne, razvedrilne in rekreacijske dejavnosti",23402
"Jezersko","S Druge dejavnosti",21875
"Jezersko","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Jezersko","U Dejavnost eksteritorialnih organizacij in teles",0
"Jezersko","X Neznano",5602
"Juršinci","SKD Dejavnost - SKUPAJ",1558752
"Juršinci","A Kmetijstvo in lov, gozdarstvo, ribištvo",64074
"Juršinci","B Rudarstvo",0
"Juršinci","C Predelovalne dejavnosti",54853
"Juršinci","D Oskrba z elektrièno energijo, plinom in paro",211
"Juršinci","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",78940
"Juršinci","F Gradbeništvo",9935
"Juršinci","G Trgovina, vzdrževanje in popravila motornih vozil",212895
"Juršinci","H Promet in skladišèenje",7663
"Juršinci","I Gostinstvo",35447
"Juršinci","J Informacijske in komunikacijske dejavnosti",134020
"Juršinci","K Finanène in zavarovalniške dejavnosti",0
"Juršinci","L Poslovanje z nepremièninami",0
"Juršinci","M Strokovne, znanstvene in tehniène dejavnosti",0
"Juršinci","N Druge raznovrstne poslovne dejavnosti",0
"Juršinci","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",171091
"Juršinci","P Izobraževanje",358017
"Juršinci","Q Zdravstvo in socialno varstvo",396226
"Juršinci","R Kulturne, razvedrilne in rekreacijske dejavnosti",10727
"Juršinci","S Druge dejavnosti",5860
"Juršinci","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Juršinci","U Dejavnost eksteritorialnih organizacij in teles",0
"Juršinci","X Neznano",18793
"Kamnik","SKD Dejavnost - SKUPAJ",200723039
"Kamnik","A Kmetijstvo in lov, gozdarstvo, ribištvo",45834
"Kamnik","B Rudarstvo",121260111
"Kamnik","C Predelovalne dejavnosti",52210486
"Kamnik","D Oskrba z elektrièno energijo, plinom in paro",10324
"Kamnik","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",834897
"Kamnik","F Gradbeništvo",275432
"Kamnik","G Trgovina, vzdrževanje in popravila motornih vozil",8170119
"Kamnik","H Promet in skladišèenje",621027
"Kamnik","I Gostinstvo",2887980
"Kamnik","J Informacijske in komunikacijske dejavnosti",981506
"Kamnik","K Finanène in zavarovalniške dejavnosti",293638
"Kamnik","L Poslovanje z nepremièninami",6164798
"Kamnik","M Strokovne, znanstvene in tehniène dejavnosti",381441
"Kamnik","N Druge raznovrstne poslovne dejavnosti",207617
"Kamnik","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",1580009
"Kamnik","P Izobraževanje",1886820
"Kamnik","Q Zdravstvo in socialno varstvo",823317
"Kamnik","R Kulturne, razvedrilne in rekreacijske dejavnosti",692484
"Kamnik","S Druge dejavnosti",466499
"Kamnik","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Kamnik","U Dejavnost eksteritorialnih organizacij in teles",0
"Kamnik","X Neznano",928700
"Kanal","SKD Dejavnost - SKUPAJ",144418984
"Kanal","A Kmetijstvo in lov, gozdarstvo, ribištvo",30705
"Kanal","B Rudarstvo",0
"Kanal","C Predelovalne dejavnosti",140036313
"Kanal","D Oskrba z elektrièno energijo, plinom in paro",468478
"Kanal","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",738213
"Kanal","F Gradbeništvo",25797
"Kanal","G Trgovina, vzdrževanje in popravila motornih vozil",557805
"Kanal","H Promet in skladišèenje",37636
"Kanal","I Gostinstvo",465863
"Kanal","J Informacijske in komunikacijske dejavnosti",280497
"Kanal","K Finanène in zavarovalniške dejavnosti",8874
"Kanal","L Poslovanje z nepremièninami",130139
"Kanal","M Strokovne, znanstvene in tehniène dejavnosti",10742
"Kanal","N Druge raznovrstne poslovne dejavnosti",1155
"Kanal","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",1045119
"Kanal","P Izobraževanje",441124
"Kanal","Q Zdravstvo in socialno varstvo",38672
"Kanal","R Kulturne, razvedrilne in rekreacijske dejavnosti",923
"Kanal","S Druge dejavnosti",39873
"Kanal","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Kanal","U Dejavnost eksteritorialnih organizacij in teles",0
"Kanal","X Neznano",61056
"Kidrièevo","SKD Dejavnost - SKUPAJ",14173581
"Kidrièevo","A Kmetijstvo in lov, gozdarstvo, ribištvo",57696
"Kidrièevo","B Rudarstvo",0
"Kidrièevo","C Predelovalne dejavnosti",8646043
"Kidrièevo","D Oskrba z elektrièno energijo, plinom in paro",217015
"Kidrièevo","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",806139
"Kidrièevo","F Gradbeništvo",172805
"Kidrièevo","G Trgovina, vzdrževanje in popravila motornih vozil",1137840
"Kidrièevo","H Promet in skladišèenje",298413
"Kidrièevo","I Gostinstvo",522274
"Kidrièevo","J Informacijske in komunikacijske dejavnosti",176391
"Kidrièevo","K Finanène in zavarovalniške dejavnosti",16526
"Kidrièevo","L Poslovanje z nepremièninami",301090
"Kidrièevo","M Strokovne, znanstvene in tehniène dejavnosti",143677
"Kidrièevo","N Druge raznovrstne poslovne dejavnosti",4233
"Kidrièevo","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",672562
"Kidrièevo","P Izobraževanje",497327
"Kidrièevo","Q Zdravstvo in socialno varstvo",234283
"Kidrièevo","R Kulturne, razvedrilne in rekreacijske dejavnosti",99881
"Kidrièevo","S Druge dejavnosti",46932
"Kidrièevo","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Kidrièevo","U Dejavnost eksteritorialnih organizacij in teles",0
"Kidrièevo","X Neznano",122454
"Kobarid","SKD Dejavnost - SKUPAJ",11707170
"Kobarid","A Kmetijstvo in lov, gozdarstvo, ribištvo",36767
"Kobarid","B Rudarstvo",0
"Kobarid","C Predelovalne dejavnosti",7209810
"Kobarid","D Oskrba z elektrièno energijo, plinom in paro",29982
"Kobarid","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",314595
"Kobarid","F Gradbeništvo",40117
"Kobarid","G Trgovina, vzdrževanje in popravila motornih vozil",571676
"Kobarid","H Promet in skladišèenje",12406
"Kobarid","I Gostinstvo",1175206
"Kobarid","J Informacijske in komunikacijske dejavnosti",698972
"Kobarid","K Finanène in zavarovalniške dejavnosti",20348
"Kobarid","L Poslovanje z nepremièninami",4765
"Kobarid","M Strokovne, znanstvene in tehniène dejavnosti",186427
"Kobarid","N Druge raznovrstne poslovne dejavnosti",0
"Kobarid","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",111714
"Kobarid","P Izobraževanje",260402
"Kobarid","Q Zdravstvo in socialno varstvo",119193
"Kobarid","R Kulturne, razvedrilne in rekreacijske dejavnosti",784260
"Kobarid","S Druge dejavnosti",81761
"Kobarid","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Kobarid","U Dejavnost eksteritorialnih organizacij in teles",2244
"Kobarid","X Neznano",46525
"Kobilje","SKD Dejavnost - SKUPAJ",277645
"Kobilje","A Kmetijstvo in lov, gozdarstvo, ribištvo",0
"Kobilje","B Rudarstvo",0
"Kobilje","C Predelovalne dejavnosti",0
"Kobilje","D Oskrba z elektrièno energijo, plinom in paro",48
"Kobilje","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",4761
"Kobilje","F Gradbeništvo",930
"Kobilje","G Trgovina, vzdrževanje in popravila motornih vozil",51885
"Kobilje","H Promet in skladišèenje",0
"Kobilje","I Gostinstvo",25015
"Kobilje","J Informacijske in komunikacijske dejavnosti",7136
"Kobilje","K Finanène in zavarovalniške dejavnosti",0
"Kobilje","L Poslovanje z nepremièninami",0
"Kobilje","M Strokovne, znanstvene in tehniène dejavnosti",0
"Kobilje","N Druge raznovrstne poslovne dejavnosti",0
"Kobilje","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",117962
"Kobilje","P Izobraževanje",63529
"Kobilje","Q Zdravstvo in socialno varstvo",0
"Kobilje","R Kulturne, razvedrilne in rekreacijske dejavnosti",0
"Kobilje","S Druge dejavnosti",1063
"Kobilje","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Kobilje","U Dejavnost eksteritorialnih organizacij in teles",0
"Kobilje","X Neznano",5316
"Koèevje","SKD Dejavnost - SKUPAJ",50807015
"Koèevje","A Kmetijstvo in lov, gozdarstvo, ribištvo",1750043
"Koèevje","B Rudarstvo",0
"Koèevje","C Predelovalne dejavnosti",32486333
"Koèevje","D Oskrba z elektrièno energijo, plinom in paro",116496
"Koèevje","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",1775244
"Koèevje","F Gradbeništvo",241506
"Koèevje","G Trgovina, vzdrževanje in popravila motornih vozil",4808615
"Koèevje","H Promet in skladišèenje",129193
"Koèevje","I Gostinstvo",1078737
"Koèevje","J Informacijske in komunikacijske dejavnosti",823737
"Koèevje","K Finanène in zavarovalniške dejavnosti",205764
"Koèevje","L Poslovanje z nepremièninami",697737
"Koèevje","M Strokovne, znanstvene in tehniène dejavnosti",751724
"Koèevje","N Druge raznovrstne poslovne dejavnosti",342075
"Koèevje","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",2880635
"Koèevje","P Izobraževanje",847071
"Koèevje","Q Zdravstvo in socialno varstvo",956280
"Koèevje","R Kulturne, razvedrilne in rekreacijske dejavnosti",396681
"Koèevje","S Druge dejavnosti",129262
"Koèevje","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Koèevje","U Dejavnost eksteritorialnih organizacij in teles",0
"Koèevje","X Neznano",389882
"Komen","SKD Dejavnost - SKUPAJ",7973525
"Komen","A Kmetijstvo in lov, gozdarstvo, ribištvo",3180
"Komen","B Rudarstvo",0
"Komen","C Predelovalne dejavnosti",4529053
"Komen","D Oskrba z elektrièno energijo, plinom in paro",11876
"Komen","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",51993
"Komen","F Gradbeništvo",110923
"Komen","G Trgovina, vzdrževanje in popravila motornih vozil",1883916
"Komen","H Promet in skladišèenje",16308
"Komen","I Gostinstvo",334320
"Komen","J Informacijske in komunikacijske dejavnosti",224916
"Komen","K Finanène in zavarovalniške dejavnosti",12825
"Komen","L Poslovanje z nepremièninami",56651
"Komen","M Strokovne, znanstvene in tehniène dejavnosti",30208
"Komen","N Druge raznovrstne poslovne dejavnosti",4
"Komen","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",309617
"Komen","P Izobraževanje",195469
"Komen","Q Zdravstvo in socialno varstvo",23948
"Komen","R Kulturne, razvedrilne in rekreacijske dejavnosti",32292
"Komen","S Druge dejavnosti",20076
"Komen","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Komen","U Dejavnost eksteritorialnih organizacij in teles",0
"Komen","X Neznano",125950
"Komenda","SKD Dejavnost - SKUPAJ",39109592
"Komenda","A Kmetijstvo in lov, gozdarstvo, ribištvo",202037
"Komenda","B Rudarstvo",0
"Komenda","C Predelovalne dejavnosti",19568320
"Komenda","D Oskrba z elektrièno energijo, plinom in paro",60917
"Komenda","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",1781474
"Komenda","F Gradbeništvo",875831
"Komenda","G Trgovina, vzdrževanje in popravila motornih vozil",6857060
"Komenda","H Promet in skladišèenje",1347665
"Komenda","I Gostinstvo",704995
"Komenda","J Informacijske in komunikacijske dejavnosti",206372
"Komenda","K Finanène in zavarovalniške dejavnosti",0
"Komenda","L Poslovanje z nepremièninami",249011
"Komenda","M Strokovne, znanstvene in tehniène dejavnosti",501591
"Komenda","N Druge raznovrstne poslovne dejavnosti",5003971
"Komenda","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",777027
"Komenda","P Izobraževanje",316907
"Komenda","Q Zdravstvo in socialno varstvo",21940
"Komenda","R Kulturne, razvedrilne in rekreacijske dejavnosti",35675
"Komenda","S Druge dejavnosti",102732
"Komenda","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Komenda","U Dejavnost eksteritorialnih organizacij in teles",0
"Komenda","X Neznano",496067
"Koper/Capodistria","SKD Dejavnost - SKUPAJ",203569232
"Koper/Capodistria","A Kmetijstvo in lov, gozdarstvo, ribištvo",120874
"Koper/Capodistria","B Rudarstvo",1534328
"Koper/Capodistria","C Predelovalne dejavnosti",46808075
"Koper/Capodistria","D Oskrba z elektrièno energijo, plinom in paro",469501
"Koper/Capodistria","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",5593298
"Koper/Capodistria","F Gradbeništvo",3528828
"Koper/Capodistria","G Trgovina, vzdrževanje in popravila motornih vozil",22880653
"Koper/Capodistria","H Promet in skladišèenje",39264424
"Koper/Capodistria","I Gostinstvo",9068449
"Koper/Capodistria","J Informacijske in komunikacijske dejavnosti",6139080
"Koper/Capodistria","K Finanène in zavarovalniške dejavnosti",3376059
"Koper/Capodistria","L Poslovanje z nepremièninami",38438591
"Koper/Capodistria","M Strokovne, znanstvene in tehniène dejavnosti",1289563
"Koper/Capodistria","N Druge raznovrstne poslovne dejavnosti",728646
"Koper/Capodistria","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",6332247
"Koper/Capodistria","P Izobraževanje",5598047
"Koper/Capodistria","Q Zdravstvo in socialno varstvo",2924230
"Koper/Capodistria","R Kulturne, razvedrilne in rekreacijske dejavnosti",4273430
"Koper/Capodistria","S Druge dejavnosti",1263396
"Koper/Capodistria","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Koper/Capodistria","U Dejavnost eksteritorialnih organizacij in teles",12946
"Koper/Capodistria","X Neznano",3924567
"Kostanjevica na Krki","SKD Dejavnost - SKUPAJ",5641225
"Kostanjevica na Krki","A Kmetijstvo in lov, gozdarstvo, ribištvo",20747
"Kostanjevica na Krki","B Rudarstvo",0
"Kostanjevica na Krki","C Predelovalne dejavnosti",3765382
"Kostanjevica na Krki","D Oskrba z elektrièno energijo, plinom in paro",226
"Kostanjevica na Krki","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",283748
"Kostanjevica na Krki","F Gradbeništvo",83513
"Kostanjevica na Krki","G Trgovina, vzdrževanje in popravila motornih vozil",375042
"Kostanjevica na Krki","H Promet in skladišèenje",1227
"Kostanjevica na Krki","I Gostinstvo",199536
"Kostanjevica na Krki","J Informacijske in komunikacijske dejavnosti",86872
"Kostanjevica na Krki","K Finanène in zavarovalniške dejavnosti",719
"Kostanjevica na Krki","L Poslovanje z nepremièninami",13674
"Kostanjevica na Krki","M Strokovne, znanstvene in tehniène dejavnosti",44995
"Kostanjevica na Krki","N Druge raznovrstne poslovne dejavnosti",40
"Kostanjevica na Krki","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",184998
"Kostanjevica na Krki","P Izobraževanje",222492
"Kostanjevica na Krki","Q Zdravstvo in socialno varstvo",28939
"Kostanjevica na Krki","R Kulturne, razvedrilne in rekreacijske dejavnosti",288525
"Kostanjevica na Krki","S Druge dejavnosti",9565
"Kostanjevica na Krki","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Kostanjevica na Krki","U Dejavnost eksteritorialnih organizacij in teles",0
"Kostanjevica na Krki","X Neznano",30985
"Kostel","SKD Dejavnost - SKUPAJ",1221964
"Kostel","A Kmetijstvo in lov, gozdarstvo, ribištvo",2
"Kostel","B Rudarstvo",0
"Kostel","C Predelovalne dejavnosti",663399
"Kostel","D Oskrba z elektrièno energijo, plinom in paro",289
"Kostel","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",22014
"Kostel","F Gradbeništvo",0
"Kostel","G Trgovina, vzdrževanje in popravila motornih vozil",17688
"Kostel","H Promet in skladišèenje",619
"Kostel","I Gostinstvo",42048
"Kostel","J Informacijske in komunikacijske dejavnosti",156766
"Kostel","K Finanène in zavarovalniške dejavnosti",2
"Kostel","L Poslovanje z nepremièninami",67692
"Kostel","M Strokovne, znanstvene in tehniène dejavnosti",41592
"Kostel","N Druge raznovrstne poslovne dejavnosti",0
"Kostel","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",112782
"Kostel","P Izobraževanje",60948
"Kostel","Q Zdravstvo in socialno varstvo",2546
"Kostel","R Kulturne, razvedrilne in rekreacijske dejavnosti",5865
"Kostel","S Druge dejavnosti",1270
"Kostel","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Kostel","U Dejavnost eksteritorialnih organizacij in teles",0
"Kostel","X Neznano",26442
"Kozje","SKD Dejavnost - SKUPAJ",5021641
"Kozje","A Kmetijstvo in lov, gozdarstvo, ribištvo",1876
"Kozje","B Rudarstvo",0
"Kozje","C Predelovalne dejavnosti",3203594
"Kozje","D Oskrba z elektrièno energijo, plinom in paro",32291
"Kozje","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",190104
"Kozje","F Gradbeništvo",45077
"Kozje","G Trgovina, vzdrževanje in popravila motornih vozil",328446
"Kozje","H Promet in skladišèenje",76164
"Kozje","I Gostinstvo",245159
"Kozje","J Informacijske in komunikacijske dejavnosti",329725
"Kozje","K Finanène in zavarovalniške dejavnosti",2259
"Kozje","L Poslovanje z nepremièninami",31768
"Kozje","M Strokovne, znanstvene in tehniène dejavnosti",36043
"Kozje","N Druge raznovrstne poslovne dejavnosti",0
"Kozje","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",200609
"Kozje","P Izobraževanje",86383
"Kozje","Q Zdravstvo in socialno varstvo",0
"Kozje","R Kulturne, razvedrilne in rekreacijske dejavnosti",120469
"Kozje","S Druge dejavnosti",4183
"Kozje","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Kozje","U Dejavnost eksteritorialnih organizacij in teles",0
"Kozje","X Neznano",87491
"Kranj","SKD Dejavnost - SKUPAJ",235022375
"Kranj","A Kmetijstvo in lov, gozdarstvo, ribištvo",248856
"Kranj","B Rudarstvo",0
"Kranj","C Predelovalne dejavnosti",150703056
"Kranj","D Oskrba z elektrièno energijo, plinom in paro",1200194
"Kranj","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",2223783
"Kranj","F Gradbeništvo",806037
"Kranj","G Trgovina, vzdrževanje in popravila motornih vozil",23477779
"Kranj","H Promet in skladišèenje",3670885
"Kranj","I Gostinstvo",6913439
"Kranj","J Informacijske in komunikacijske dejavnosti",2869604
"Kranj","K Finanène in zavarovalniške dejavnosti",2369085
"Kranj","L Poslovanje z nepremièninami",12559946
"Kranj","M Strokovne, znanstvene in tehniène dejavnosti",4802512
"Kranj","N Druge raznovrstne poslovne dejavnosti",919038
"Kranj","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",5233205
"Kranj","P Izobraževanje",3963444
"Kranj","Q Zdravstvo in socialno varstvo",4996607
"Kranj","R Kulturne, razvedrilne in rekreacijske dejavnosti",4444817
"Kranj","S Druge dejavnosti",763911
"Kranj","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Kranj","U Dejavnost eksteritorialnih organizacij in teles",0
"Kranj","X Neznano",2856177
"Kranjska Gora","SKD Dejavnost - SKUPAJ",20864020
"Kranjska Gora","A Kmetijstvo in lov, gozdarstvo, ribištvo",13481
"Kranjska Gora","B Rudarstvo",0
"Kranjska Gora","C Predelovalne dejavnosti",704487
"Kranjska Gora","D Oskrba z elektrièno energijo, plinom in paro",72051
"Kranjska Gora","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",694606
"Kranjska Gora","F Gradbeništvo",346489
"Kranjska Gora","G Trgovina, vzdrževanje in popravila motornih vozil",2266109
"Kranjska Gora","H Promet in skladišèenje",1623303
"Kranjska Gora","I Gostinstvo",5915335
"Kranjska Gora","J Informacijske in komunikacijske dejavnosti",693280
"Kranjska Gora","K Finanène in zavarovalniške dejavnosti",28236
"Kranjska Gora","L Poslovanje z nepremièninami",215634
"Kranjska Gora","M Strokovne, znanstvene in tehniène dejavnosti",79700
"Kranjska Gora","N Druge raznovrstne poslovne dejavnosti",144916
"Kranjska Gora","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",524688
"Kranjska Gora","P Izobraževanje",336912
"Kranjska Gora","Q Zdravstvo in socialno varstvo",335866
"Kranjska Gora","R Kulturne, razvedrilne in rekreacijske dejavnosti",6345716
"Kranjska Gora","S Druge dejavnosti",94109
"Kranjska Gora","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Kranjska Gora","U Dejavnost eksteritorialnih organizacij in teles",0
"Kranjska Gora","X Neznano",429102
"Križevci","SKD Dejavnost - SKUPAJ",8627234
"Križevci","A Kmetijstvo in lov, gozdarstvo, ribištvo",520276
"Križevci","B Rudarstvo",0
"Križevci","C Predelovalne dejavnosti",3987376
"Križevci","D Oskrba z elektrièno energijo, plinom in paro",1435810
"Križevci","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",588149
"Križevci","F Gradbeništvo",3459
"Križevci","G Trgovina, vzdrževanje in popravila motornih vozil",395194
"Križevci","H Promet in skladišèenje",11311
"Križevci","I Gostinstvo",216160
"Križevci","J Informacijske in komunikacijske dejavnosti",166695
"Križevci","K Finanène in zavarovalniške dejavnosti",6635
"Križevci","L Poslovanje z nepremièninami",0
"Križevci","M Strokovne, znanstvene in tehniène dejavnosti",13890
"Križevci","N Druge raznovrstne poslovne dejavnosti",0
"Križevci","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",217303
"Križevci","P Izobraževanje",87557
"Križevci","Q Zdravstvo in socialno varstvo",865426
"Križevci","R Kulturne, razvedrilne in rekreacijske dejavnosti",6771
"Križevci","S Druge dejavnosti",65212
"Križevci","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Križevci","U Dejavnost eksteritorialnih organizacij in teles",0
"Križevci","X Neznano",40010
"Krško","SKD Dejavnost - SKUPAJ",150300681
"Krško","A Kmetijstvo in lov, gozdarstvo, ribištvo",2701796
"Krško","B Rudarstvo",821931
"Krško","C Predelovalne dejavnosti",97114860
"Krško","D Oskrba z elektrièno energijo, plinom in paro",994679
"Krško","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",11968263
"Krško","F Gradbeništvo",2860796
"Krško","G Trgovina, vzdrževanje in popravila motornih vozil",10078983
"Krško","H Promet in skladišèenje",866199
"Krško","I Gostinstvo",2297359
"Krško","J Informacijske in komunikacijske dejavnosti",1114261
"Krško","K Finanène in zavarovalniške dejavnosti",753626
"Krško","L Poslovanje z nepremièninami",10598068
"Krško","M Strokovne, znanstvene in tehniène dejavnosti",1476687
"Krško","N Druge raznovrstne poslovne dejavnosti",137173
"Krško","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",859971
"Krško","P Izobraževanje",1715101
"Krško","Q Zdravstvo in socialno varstvo",1122832
"Krško","R Kulturne, razvedrilne in rekreacijske dejavnosti",398240
"Krško","S Druge dejavnosti",305834
"Krško","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Krško","U Dejavnost eksteritorialnih organizacij in teles",0
"Krško","X Neznano",2114022
"Kungota","SKD Dejavnost - SKUPAJ",3489040
"Kungota","A Kmetijstvo in lov, gozdarstvo, ribištvo",7150
"Kungota","B Rudarstvo",0
"Kungota","C Predelovalne dejavnosti",674038
"Kungota","D Oskrba z elektrièno energijo, plinom in paro",506
"Kungota","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",374636
"Kungota","F Gradbeništvo",32463
"Kungota","G Trgovina, vzdrževanje in popravila motornih vozil",764637
"Kungota","H Promet in skladišèenje",19495
"Kungota","I Gostinstvo",520711
"Kungota","J Informacijske in komunikacijske dejavnosti",249598
"Kungota","K Finanène in zavarovalniške dejavnosti",0
"Kungota","L Poslovanje z nepremièninami",48143
"Kungota","M Strokovne, znanstvene in tehniène dejavnosti",8903
"Kungota","N Druge raznovrstne poslovne dejavnosti",9532
"Kungota","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",308504
"Kungota","P Izobraževanje",263094
"Kungota","Q Zdravstvo in socialno varstvo",3618
"Kungota","R Kulturne, razvedrilne in rekreacijske dejavnosti",1455
"Kungota","S Druge dejavnosti",28044
"Kungota","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Kungota","U Dejavnost eksteritorialnih organizacij in teles",0
"Kungota","X Neznano",174513
"Kuzma","SKD Dejavnost - SKUPAJ",1042928
"Kuzma","A Kmetijstvo in lov, gozdarstvo, ribištvo",1970
"Kuzma","B Rudarstvo",0
"Kuzma","C Predelovalne dejavnosti",989
"Kuzma","D Oskrba z elektrièno energijo, plinom in paro",92347
"Kuzma","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",18352
"Kuzma","F Gradbeništvo",1240
"Kuzma","G Trgovina, vzdrževanje in popravila motornih vozil",241842
"Kuzma","H Promet in skladišèenje",21957
"Kuzma","I Gostinstvo",75534
"Kuzma","J Informacijske in komunikacijske dejavnosti",103280
"Kuzma","K Finanène in zavarovalniške dejavnosti",3170
"Kuzma","L Poslovanje z nepremièninami",0
"Kuzma","M Strokovne, znanstvene in tehniène dejavnosti",8831
"Kuzma","N Druge raznovrstne poslovne dejavnosti",0
"Kuzma","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",165814
"Kuzma","P Izobraževanje",55682
"Kuzma","Q Zdravstvo in socialno varstvo",210581
